Busulfan należy podawać w infuzji dożylnej przez cewnik umieszczony w żyle centralnej.,Busulfan should be administered by intravenous infusion via central venous catheter.
Co zawiera Seretide,What Seretide contains
Jakie są zagrożenia związane ze stosowaniem produktu Evarrest?,What are the risks associated with Evarrest?
Należy unikać jednoczesnego podawania przeciwpsychotycznych produktów leczniczych z pramipeksolem.,Co-administration of antipsychotic medicinal products with pramipexole should be avoided.
Niektóre wielkości opakowań mogą nie być dostępne w obrocie.,Not all pack sizes may be marketed.
"Działanie palbocyklibu polega na blokowaniu białek nazywanych kinazami zależnymi od cyklin 4 i 6, które regulują wzrost i podział komórek.","Palbociclib works by blocking proteins called cyclin-dependent kinase 4 and 6, which regulate cell growth and division."
"Należy kontynuować przyjmowanie leku, dopóki lekarz prowadzący nie zaleci przerwania leczenia.",Continue to take this medicine until your doctor tells you otherwise.
Lek należy przechowywać w miejscu niewidocznym i niedostępnym dla dzieci.,Keep this medicine out of the sight and reach of children.
"W razie jakichkolwiek wątpliwości należy zwrócić się do lekarza lub farmaceuty.","If you have any doubts, ask your doctor or pharmacist."
Nie należy stosować leku po upływie terminu ważności zamieszczonego na opakowaniu.,Do not use this medicine after the expiry date which is stated on the packaging.
Zawsze należy stosować ten lek zgodnie z zaleceniami lekarza.,Always take this medicine exactly as your doctor has told you.
"Jeśli wystąpią jakiekolwiek objawy niepożądane, należy powiedzieć o tym lekarzowi.","If you get any side effects, talk to your doctor."
"Tabletki należy połykać w całości, popijając wodą.",The tablets should be swallowed whole with water.
Zwykle stosowana dawka to jedna tabletka raz na dobę.,The usual dose is one tablet once a day.
Ten lek zawiera substancję czynną o nazwie metformina.,This medicine contains the active substance called metformin.
Przed zastosowaniem leku należy zapoznać się z treścią ulotki.,Read the package leaflet before using this medicine.
Lek może powodować senność i zawroty głowy.,This medicine may cause drowsiness and dizziness.
Nie należy stosować podwójnej dawki w celu uzupełnienia pominiętej dawki.,Do not take a double dose to make up for a forgotten dose.
Roztwór należy podawać wyłącznie w powolnym wstrzyknięciu dożylnym.,The solution should be given only by slow intravenous injection.
Przed każdym wstrzyknięciem należy sprawdzić datę ważności.,Check the expiry date before each injection.
